"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry150","287","ec:4.99.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.99.1.3","rn:R05807",337,402,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1313,5667,23.1692253396859,0,0,3,0.5,8.98472596585804e-05,9,0,15,1,7,4,0,0,"NHNB"
"entry151","288","ec:2.1.1.151","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.151","rn:R05808",337,448,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2006,5667,35.397917769543,0,2,0,0,9.15750915750916e-05,9,0,14,1,7,2,2.56594076806179e-17,0,"NHNB"
"entry152","289","ec:2.1.1.131","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.131","rn:R05809",337,536,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1807,5667,31.8863596259044,0.00164835164835165,3,1,0.166666666666667,9.61261174661155e-05,9,0,14,1,7,4,0,0,"NHNB"
"entry153","290","ec:2.1.1.271","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.271","rn:R05810",337,582,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1981,5667,34.9567672489854,0.00146520146520147,2,1,0.333333333333333,9.70496894409938e-05,9,0,15,1,7,3,8.5321231718953e-18,0,"NHNB"
"entry154","291","ec:1.3.1.106","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.106","rn:R05812",337,725,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1614,5667,28.4806776071996,0.000274725274725275,1,0,0,9.24385283786282e-05,12,0,18,1,7,2,1.69381700139265e-18,0,"NHNB"
"entry155","292","ec:2.1.1.289","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.289","rn:R07775",337,823,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,583,5667,10.2876301394036,0.000274725274725275,1,0,0,9.0702947845805e-05,13,0,20,1,7,2,1.36766123410053e-17,0,"NHNB"
"entry156","293","ec:2.1.1.196","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.196","rn:R07774",337,773,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,615,5667,10.8523028057173,0.000366300366300366,1,0,0,9.15667063455728e-05,13,0,19,1,7,2,1.36766123410053e-17,0,"NHNB"
"entry157","294","ec:2.1.1.130","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.130","rn:R03948",495,448,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2006,5667,35.397917769543,0.00137362637362637,2,1,0.333333333333333,9.24556213017751e-05,9,0,14,1,7,3,8.5321231718953e-18,0,"NHNB"
"entry158","295","ec:1.14.13.83","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.83","rn:R05217",495,493,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,836,5667,14.7520734074466,0.00146520146520147,1,0,0,9.33358222885944e-05,9,0,13,1,7,2,0,0,"NHNB"
"entry159","296","ec:2.1.1.131","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.131","rn:R05180",495,536,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1807,5667,31.8863596259044,0.00164835164835165,3,1,0.166666666666667,9.61261174661155e-05,9,0,14,1,7,4,0,0,"NHNB"
"entry160","297","ec:2.1.1.133","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.133","rn:R05181",495,582,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1981,5667,34.9567672489854,0,0,0,0,8.98472596585804e-05,9,0,15,1,7,2,0,0,"NHNB"
"entry161","298","ec:2.1.1.152","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.152","rn:R05219",495,652,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,607,5667,10.7111346391389,0,2,0,0,9.15750915750916e-05,9,0,16,1,7,2,2.56594076806179e-17,0,"NHNB"
"entry162","299","ec:1.3.1.54","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.54","rn:R05150",495,725,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1614,5667,28.4806776071996,0,0,0,0,8.98472596585804e-05,9,0,17,1,7,2,0,0,"NHNB"
"entry163","300","ec:5.4.99.61","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.99.61","rn:R05177",495,871,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1964,5667,34.6567848950062,0,2,0,0,9.33532486930545e-05,14,0,19,1,7,2,2.56594076806179e-17,0,"NHNB"
"entry164","301","ec:6.3.5.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.5.9","rn:R05224",495,919,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2214,5667,39.0682901005823,9.15750915750916e-05,1,0,0,9.0702947845805e-05,14,0,20,1,7,2,1.69381700139265e-18,0,"NHNB"
"entry165","302","ec:6.6.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.6.1.2","rn:R05227",495,970,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1792,5667,31.6216693135698,0,0,1,0.333333333333333,8.98472596585804e-05,14,0,21,1,7,3,0,0,"NHNB"
"entry166","303","ec:5.4.99.60","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.99.60","rn:R05814",337,871,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,1964,5667,34.6567848950062,0,0,0,0,8.98472596585804e-05,14,0,21,1,7,2,0,0,"NHNB"
"entry167","304","ec:6.3.5.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.5.11","rn:R05815",337,919,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2214,5667,39.0682901005823,9.15750915750916e-05,2,1,0.333333333333333,9.15750915750916e-05,14,0,22,1,7,3,0,0,"NHNB"
"entry168","305","ec:1.16.8.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.8.1","rn:R05218",413,1015,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,138,5667,2.43515087347803,0,3,1,0.333333333333333,9.42773640049024e-05,14,0,22,1,7,3,5.64633045303459e-17,0,"NHB"
"entry169","306","ec:2.5.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.17","rn:R05220",413,1064,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,3953,5667,69.75472031057,0.000732600732600733,1,6,0.214285714285714,9.0702947845805e-05,14,0,23,1,7,8,0,0,"HB"
"entry170","307","ec:6.3.5.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.5.10","rn:R05225",413,1112,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2523,5667,44.5209105346744,0,3,3,1,9.42773640049024e-05,14,0,24,1,7,4,0,0,"NHNB"
"entry171","308","ec:3.5.1.90","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.90","rn:R05226",508,1168,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,130,5667,2.29398270689959,0,0,5,0.833333333333333,8.98472596585804e-05,14,5.46478342833655e-17,24,1,7,4,0,0,"NHNB"
"entry172","309","ec:2.5.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.17","rn:R07268",532,1195,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,3953,5667,69.75472031057,0.000732600732600733,1,6,0.214285714285714,9.0702947845805e-05,14,0,23,1,7,8,0,0,"HB"
"entry173","310","ec:2.7.1.156","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.156","rn:R05221 rn:R06558",413,1213,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2448,5667,43.1974589730016,0.000183150183150183,2,4,0.666666666666667,9.15750915750916e-05,14,0,24,1,7,4,0,0,"NHNB"
"entry174","311","ec:1.16.1.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.1.6","rn:R02999",541,1307,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,0,5667,0,0,1,1,1,9.15667063455728e-05,14,5.39922945302007e-18,24,1,7,2,1.69381700139265e-18,0,"NHNB"
"entry175","312","ec:2.5.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.17","rn:R01492",481,1347,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,3967,5667,70.0017646020822,0.000732600732600733,1,6,0.214285714285714,9.0702947845805e-05,14,0,23,1,7,8,0,0,"HB"
"entry176","313","ec:2.7.7.62","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.62","rn:R05222",413,1262,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2662,5667,46.9737074289748,0.000274725274725275,1,1,0.333333333333333,9.24470740501063e-05,14,0,25,1,7,3,0,0,"NHNB"
"entry177","314","ec:4.1.1.81","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.81","rn:R06530",255,1243,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,799,5667,14.0991706370214,0.000549450549450549,1,0,0,9.51927653498334e-05,15,0,25,1,7,2,1.36766123410053e-17,0,"NHB"
"entry178","315","ec:2.7.8.26","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.8.26","rn:R05223",413,1317,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,2814,5667,49.6559025939651,0.000732600732600733,2,0,0,9.33532486930545e-05,14,0,24,1,7,3,8.5321231718953e-18,0,"NHB"
"entry179","316","ec:3.1.3.73","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.73","rn:R04594",321,1301,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,2106,5667,37.1625198517734,0.000457875457875458,1,0,0,9.42418245217227e-05,16,0,25,1,7,2,1.36766123410053e-17,0,"NHB"
"entry180","317","ec:2.4.2.21","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.2.21","rn:R04148",231,1300,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",0,2379,5667,41.9798835362626,0,1,0,0,9.51384264104272e-05,16,0,26,1,7,1,1.2829703840309e-17,0,"NHNB"
"entry181","318","ec:1.16.1.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.16.1.4","rn:R00099",607,1348,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00860",1,0,5667,0,0.000549450549450549,2,1,0.166666666666667,9.24556213017751e-05,14,0,24,1,7,4,3.3876340027853e-18,0,"NHB"
