"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree"
"11",5304,"ec","00904",80,203,1,10,"ec:1.14.11.15",">=70",82.4074074074074,1,3,0.000160230732254446,0.000162284972411555,0,7,66,14,5.19402985074627,1,1,0,2,2,0,2,2,0,4,2,1,2,2,0,2,2,0,NA,NA,NA
"12",5308,"ec","00904",80,203,1,10,"ec:1.14.11.15","30<=x<70",50,1,3,0.000160230732254446,0.000162284972411555,0,7,66,14,5.19402985074627,4,4,1,2,2,0,1,1,0,2,2,0,2,2,0,2,2,0,NA,NA,NA
"13",5312,"ec","00904",80,203,1,10,"ec:1.14.14.144","<30",0,7,2,0.000164338537387017,0.00340798442064265,0.00396692659376252,7,62,12,5.3968253968254,4,4,1,2,2,0,4,4,1,2,2,0,3,3,0,2,2,0,NA,NA,NA
"14",5313,"ec","00904",80,203,1,10,"ec:4.2.1.133","<30",0,6,13,0.000180733779143322,0.00454397922752353,0.0670752707359039,7,63,13,5.15625,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,0,NA,NA,NA
"15",5314,"ec","00904",80,203,1,10,"ec:4.2.3.28","<30",1.85185185185185,7,7,0.000170910955392241,0.00146056475170399,0,7,63,13,5.125,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,0,NA,NA,NA
"16",5315,"ec","00904",80,203,1,10,"ec:1.14.14.145","<30",0,8,3,0.000162284972411555,0.00259655955858487,0.00284298818815297,8,63,12,5.375,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,1,1,0
"17",5316,"ec","00904",80,203,1,10,"ec:4.2.3.34","<30",0,7,6,0.000168719419605197,0.000811424862057773,0.0280024359373396,7,64,13,5.10769230769231,4,4,1,2,2,0,4,4,1,2,2,0,1,1,0,2,2,0,NA,NA,NA
"18",5317,"ec","00904",80,203,1,10,"ec:4.2.3.35","<30",1.85185185185185,7,7,0.000164392569455861,0.00551768906199286,0.0825222078104772,7,63,13,5.34375,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,1,NA,NA,NA
"19",5319,"ec","00904",80,203,1,10,"ec:3.1.7.5","<30",0,6,12,0.000170998632010944,0.00259655955858487,0.197668497233535,7,64,13,5.2,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,NA,NA,NA
"20",5321,"ec","00904",80,203,1,10,"ec:4.2.3.103","<30",1.85185185185185,7,6,0.000178062678062678,0.000973709834469328,0,7,63,12,5.40625,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,1,NA,NA,NA
"21",5322,"ec","00904",80,203,1,10,"ec:1.14.14.76","<30",1.85185185185185,8,2,0.000160230732254446,0.000649139889646219,0,7,64,12,5.41538461538462,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,NA,NA,NA
"22",5329,"ec","00904",80,203,1,10,"ec:4.2.3.144","30<=x<70",61.1111111111111,6,12,0.000166527893422148,0.00275884453099643,0.339332122592392,7,64,12,5.47692307692308,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,NA,NA,NA
"23",5331,"ec","00904",80,203,1,10,"ec:4.2.3.131","<30",0.925925925925926,6,10,0.000185632077222944,0.0162284972411555,0.121595042609042,7,55,12,5.60714285714286,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,10,4,2.8,NA,NA,NA
"24",5333,"ec","00904",80,203,1,10,"ec:1.14.13.190","<30",0,7,5,0.000178094390026714,0.0160662122687439,0.0871438534857191,7,56,12,5.54385964912281,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,9,4,2.88888888888889,NA,NA,NA
"25",5349,"ec","00904",80,203,1,10,"ec:1.14.14.70","<30",2.77777777777778,8,3,0.000162284972411555,0.00227198961376177,0,7,63,12,5.5,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,2,2,0,NA,NA,NA
"26",5354,"ec","00904",80,203,1,10,"ec:4.2.1.173","<30",0,6,12,0.000162284972411555,0.00292112950340798,0.582522207810477,7,64,12,5.2,4,4,1,2,2,0,4,4,1,2,2,0,2,2,0,1,1,0,NA,NA,NA
