"ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree","subgraph9_size","subgraph9_community","subgraph9_mean_degree","subgraph10_size","subgraph10_community","subgraph10_mean_degree","subgraph11_size","subgraph11_community","subgraph11_mean_degree","subgraph12_size","subgraph12_community","subgraph12_mean_degree","subgraph13_size","subgraph13_community","subgraph13_mean_degree"
4008,"ec",624,24,31,1,10,"ec:1.3.1.53","Q1",0.734394124847001,7,6,0.00189035916824197,0.00197628458498024,0,5,13,6,2,2,2,0,3,3,0.666666666666667,2,2,0,3,3,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,"ec",624,24,31,1,10,"ec:1.14.13.23","Q1",0.244798041615667,7,6,0.0022883295194508,0.00988142292490119,0,5,15,6,2.5,2,2,0,3,3,0.666666666666667,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,"ec",624,24,31,1,10,"ec:1.14.12.12","Q3",15.422276621787,1,2,0.00197628458498024,0,0,5,17,6,2.88888888888889,2,2,0,2,2,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4017,"ec",624,24,31,1,10,"ec:3.1.1.102","Q1",0,9,2,0.00189035916824197,0.00197628458498024,0,5,15,6,2.5,2,2,0,3,3,0.666666666666667,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,"ec",625,27,26,1,4,"ec:1.18.6.1","Q3",11.4668483197094,2,2,0.00166389351081531,0,0,7,3,4,0.5,3,3,0,3,3,0.666666666666667,6,6,1,8,4,1.25,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4023,"ec",625,27,26,1,4,"ec:1.14.13.69","Q1",0.113533151680291,2,3,0.00153609831029186,0.00461538461538462,1,7,2,3,0.666666666666667,2,2,1,3,3,0.666666666666667,3,3,0.666666666666667,6,3,1.66666666666667,8,3,1.75,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4027,"ec",625,27,26,1,4,"ec:1.1.1.1","Q4",89.1916439600363,1,2,0.0014792899408284,0.00153846153846154,0,7,5,3,1,1,1,0,3,3,0.666666666666667,6,6,1,8,4,1.25,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028,"ec",625,27,26,1,4,"ec:1.1.1.1","Q4",89.1916439600363,1,2,0.0014792899408284,0.00153846153846154,0,7,5,3,1,3,3,0.666666666666667,1,1,0,6,6,1,8,4,1.25,2,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4036,"ec",625,27,26,1,4,"ec:1.2.1.3","Q4",60.2406902815622,2,4,0.00153846153846154,0.00923076923076923,0,8,5,3,1,3,3,0.666666666666667,3,3,0.666666666666667,3,3,1.33333333333333,8,4,1.25,2,2,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4040,"ec",625,27,26,1,4,"ec:1.14.12.11","Q1",0.113533151680291,2,5,0.0016,0.0138461538461538,0,7,5,3,1,3,3,0.666666666666667,3,3,0.666666666666667,6,3,1.66666666666667,3,3,0,4,4,1.5,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
