"","pathway","nodes","edges","total_species","node_highest_impact","disconnected_nodes","community","mean_degree","mean_betweenness","ap_number","hap_number","hub_number","others_number"
"131","00920","60","312","5592","ec:4.4.1.3","2",NA,NA,NA,"5","0","12","51"
"132","00930","24","32","2316","ec:1.1.1.174","2",NA,NA,NA,"5","2","2","16"
"133","00940","73","154","97","ec:1.2.1.44","4",NA,NA,NA,"6","1","17","51"
"134","00941","83","199","91","ec:5.5.1.6","2","7","4.79518072289157","0.00460378097756881","17","2","15","49"
"135","00942","43","114","79","ec:2.4.1.298","4",NA,NA,NA,"4","6","8","27"
"136","00943","50","67","66","ec:4.2.1.105","2",NA,NA,NA,"12","8","3","29"
"137","00944","40","69","89","ec:2.4.1.91","6",NA,NA,NA,"7","10","4","23"
"138","00945","19","36","91","ec:2.3.1.95","1","8","3.78947368421053","0.0319917440660475","0","2","2","15"
"139","00950","89","199","105","ec:2.3.1.150","3",NA,NA,NA,"27","0","17","47"
"140","00960","22","24","105","ec:1.1.1.206","2",NA,NA,NA,"2","2","2","23"
"141","00965","4","3","92","ec:4.1.1.28","1","1","1.5","0.0833333333333332","0","1","0","3"
"142","00970","20","19","6105","ec:6.3.5.7","1",NA,NA,NA,"4","2","3","25"
"143","00980","52","81","248","ec:3.3.2.9","2",NA,NA,NA,"5","3","19","32"
"144","00981","9","10","71","ec:1.2.1.3","1",NA,NA,NA,"1","0","1","9"
"145","00982","18","16","248","ec:1.14.14.1","1",NA,NA,NA,"0","2","2","33"
"146","00983","37","54","318","ec:1.1.1.205","3",NA,NA,NA,"5","2","9","33"
"147","00984","15","17","381","ec:1.13.11.25","1","3","2.26666666666667","0.00512820512820513","2","3","0","10"
"148","00998","39","29","664","ec:1.1.1.340","2",NA,NA,NA,"0","15","1","32"
"149","00999","36","28","640","ec:2.5.1.102","2",NA,NA,NA,"0","17","2","19"
"150","01053","5","5","1286","ec:3.3.2.1","2",NA,NA,NA,"1","1","0","11"
"151","01055","8","6","346","ec:1.13.11.80","1",NA,NA,NA,"0","1","3","8"
"152","01057","33","28","128","ec:1.1.1.362","2",NA,NA,NA,"7","6","0","25"
"153","01058","3","2","2","ec:6.2.1.32","1",NA,NA,NA,"0","1","0","3"
"154","01059","6","4","202","ec:1.14.15.31","1",NA,NA,NA,"0","2","0","7"
