"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"57","69","84","ec:4.2.1.2","43","rn:R01082","191","441","ec:1.1.5.4","109","rn:R00361","253","398","ec","00020"
"58","84","68","ec:1.1.5.4","109","rn:R00361","253","398","ec:2.3.3.8","42","rn:R00352","436","350","ec","00020"
"59","84","72","ec:1.1.5.4","109","rn:R00361","253","398","ec:2.3.3.1","46","rn:R00351","436","331","ec","00020"
"60","84","79","ec:1.1.5.4","109","rn:R00361","253","398","ec:4.1.1.49","96","rn:R00341","371","126","ec","00020"
"61","84","80","ec:1.1.5.4","109","rn:R00361","253","398","ec:4.1.1.32","97","rn:R00431 rn:R00726","371","105","ec","00020"
"62","84","74","ec:1.1.5.4","109","rn:R00361","253","398","ec:6.4.1.1","48","rn:R00344","736","278","ec","00020"
"63","69","85","ec:4.2.1.2","43","rn:R01082","191","441","ec:1.3.5.4","110","rn:R02164","165","535","ec","00020"
"64","85","64","ec:1.3.5.4","110","rn:R02164","165","535","ec:6.2.1.4","38","rn:R00432 rn:R00727","260","560","ec","00020"
"65","85","63","ec:1.3.5.4","110","rn:R02164","165","535","ec:6.2.1.5","37","rn:R00405","260","579","ec","00020"
"66","85","82","ec:1.3.5.4","110","rn:R02164","165","535","ec:2.8.3.18","106","rn:R10343","260","598","ec","00020"
"67","88","78","ec:1.2.7.11","118","rn:R01196","535","179","ec:2.3.1.12","91","rn:R02569","464","242","ec","00020"
"68","88","72","ec:1.2.7.11","118","rn:R01196","535","179","ec:2.3.3.1","46","rn:R00351","436","331","ec","00020"
"69","88","68","ec:1.2.7.11","118","rn:R01196","535","179","ec:2.3.3.8","42","rn:R00352","436","350","ec","00020"
"70","88","75","ec:1.2.7.11","118","rn:R01196","535","179","ec:1.2.4.1","84","rn:R00014","686","241","ec","00020"
"71","88","74","ec:1.2.7.11","118","rn:R01196","535","179","ec:6.4.1.1","48","rn:R00344","736","278","ec","00020"
"72","60","86","ec:1.2.4.2","34","rn:R00621","661","579","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"73","65","86","ec:1.1.1.42","39","rn:R00268","718","510","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"74","66","86","ec:1.1.1.41","40","rn:R00709","766","463","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"75","81","86","ec:1.1.1.286","105","rn:R00709","816","463","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"76","62","86","ec:2.3.1.61","36","rn:R02570","403","579","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"77","64","86","ec:6.2.1.4","38","rn:R00432 rn:R00727","260","560","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"78","63","86","ec:6.2.1.5","37","rn:R00405","260","579","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"79","82","86","ec:2.8.3.18","106","rn:R10343","260","598","ec:1.2.7.11","115","rn:R01197","530","656","ec","00020"
"80","73","90","ec:1.1.1.37","47","rn:R00342","253","349","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"81","84","90","ec:1.1.5.4","109","rn:R00361","253","398","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"82","80","90","ec:4.1.1.32","97","rn:R00431 rn:R00726","371","105","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"83","79","90","ec:4.1.1.49","96","rn:R00341","371","126","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"84","74","90","ec:6.4.1.1","48","rn:R00344","736","278","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"85","90","71","ec:2.3.3.3","120","rn:R00351","436","369","ec:4.2.1.3","45","rn:R01325","571","350","ec","00020"
"86","87","90","ec:1.2.7.1","117","rn:R01196","535","157","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"87","88","90","ec:1.2.7.11","118","rn:R01196","535","179","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
"88","78","90","ec:2.3.1.12","91","rn:R02569","464","242","ec:2.3.3.3","120","rn:R00351","436","369","ec","00020"
