"ap_dict_id","pathway","ap_group","pathway_nodes","pathway_edges","betweenness","degree","noSubgraphs","impact_score"
4259,"00640","<30%",61,225,0.0241960017383746,18,2,31
4261,"00640","<30%",61,225,0.00875706214689265,4,2,31
4263,"00640","<30%",61,225,0.00169491525423729,4,2,31
4270,"00640","<30%",61,225,0.0215001163306248,18,2,31
4276,"00642","<30%",7,8,0,3,2,4
4280,"00642","<30%",7,8,0.116666666666667,4,2,4
4290,"00643","<30%",21,27,0.0131578947368421,2,4,16
4291,"00643","<30%",21,27,0.00526315789473684,2,4,16
4292,"00643","<30%",21,27,0.0210526315789474,4,4,16
4294,"00643","<30%",21,27,0.00526315789473684,4,4,16
4301,"00643","<30%",21,27,0,2,4,16
4303,"00643","<30%",21,27,0,4,4,16
4306,"00650","<30%",54,163,0.000725689404934688,2,3,36.3333333333333
4334,"00650","<30%",54,163,0.0624092888243832,5,3,36.3333333333333
4335,"00650","<30%",54,163,0.0518867924528302,2,3,36.3333333333333
4336,"00650","<30%",54,163,0.0509192065795839,3,3,36.3333333333333
4338,"00650","<30%",54,163,0,4,3,36.3333333333333
4350,"00650","≥80%",54,163,0.0235849056603774,5,3,36.3333333333333
4365,"00660","<30%",22,32,0.019047619047619,2,4,16.75
4366,"00660","<30%",22,32,0.0333333333333333,4,4,16.75
4372,"00660","<30%",22,32,0.0142857142857143,4,4,16.75
4374,"00660","≥80%",22,32,0.0285714285714286,5,4,16.75
4376,"00660","<30%",22,32,0.00238095238095238,2,4,16.75
4380,"00660","<30%",22,32,0,4,4,16.75
4428,"00680","<30%",83,180,0.0210779885576634,4,6,69.3333333333333
4453,"00680","≥80%",83,180,0.0447154471544715,6,6,69.3333333333333
4481,"00680","<30%",83,180,0.0013550135501355,3,7,71.2857142857143
4483,"00680","<30%",83,180,0.00120445648900933,2,6,69.3333333333333
4484,"00680","<30%",83,180,0.000752785305630834,2,6,69.3333333333333
4487,"00680","<30%",83,180,0.000301114122252334,2,6,69.3333333333333
4488,"00680","<30%",83,180,0.000301114122252334,2,6,69.3333333333333
4496,"00680","<30%",83,180,0.000150557061126167,2,6,69.3333333333333
4498,"00680","<30%",83,180,0.000301114122252334,2,6,69.3333333333333
4499,"00680","<30%",83,180,0.000301114122252334,2,6,69.3333333333333
4500,"00680","<30%",83,180,0,2,6,69.3333333333333
4507,"00680","<30%",83,180,0.000602228244504667,2,6,69.3333333333333
4542,"00710","<30%",33,75,0.00705645161290323,4,4,25
4545,"00720","≥80%",54,124,0.0766172506738545,10,2,27.5
4555,"00720","<30%",54,124,0.0319303338171263,3,3,36.3333333333333
4591,"00720","<30%",54,124,0.189042089985486,11,2,27.5
4620,"00730","<30%",28,71,0.00712250712250712,2,2,14.5
4638,"00740","≥80%",30,107,0.0197044334975369,4,2,15.5
4639,"00740","≥80%",30,107,0.0564449917898194,12,2,15.5
4678,"00750","<30%",37,114,0.00238095238095238,2,3,25
4680,"00750","<30%",37,114,0,2,3,25
4687,"00750","<30%",37,114,0,7,3,25
4688,"00750","<30%",37,114,0,2,3,25
4689,"00750","<30%",37,114,0.000793650793650794,2,3,25
4693,"00750","<30%",37,114,0.00952380952380952,4,3,25
4694,"00750","<30%",37,114,0.00555555555555556,2,3,25
4696,"00750","<30%",37,114,0,3,3,25
4699,"00760","<30%",66,239,0.000480769230769231,2,5,53
4700,"00760","<30%",66,239,0.000480769230769231,2,5,53
4703,"00760","<30%",66,239,0.00985576923076923,2,5,53
4704,"00760","<30%",66,239,0.0192908653846154,5,5,53
4707,"00760","<30%",66,239,0.000721153846153846,4,6,55.1666666666667
4716,"00760","<30%",66,239,0,2,5,53
4717,"00760","<30%",66,239,0.0192307692307692,3,5,53
4718,"00760","<30%",66,239,0.0317908653846154,6,5,53
4741,"00760","<30%",66,239,0.0480101495726496,12,6,55.1666666666667
4749,"00760","<30%",66,239,0.0177884615384615,6,5,53
4750,"00760","<30%",66,239,0.00216346153846154,2,5,53
4758,"00760","<30%",66,239,0,6,5,53
722,"00073","≥80%",13,14,0,2,5,10.6
730,"00073","<30%",13,14,0,3,5,10.6
4776,"00770","<30%",33,71,0,4,2,17
4777,"00770","<30%",33,71,0.00201612903225806,3,3,22.3333333333333
4814,"00780","<30%",31,60,0.214942528735632,3,2,16
4817,"00780","≥80%",31,60,0.0862068965517241,3,2,16
4821,"00780","≥80%",31,60,0.183908045977011,3,2,16
4836,"00785","<30%",10,14,0,2,3,7
4858,"00790","<30%",60,130,0,4,3,40.3333333333333
4868,"00790","<30%",60,130,0,2,3,40.3333333333333
4907,"00791","<30%",15,17,0.032967032967033,3,3,10.3333333333333
4908,"00791","<30%",15,17,0.032967032967033,3,3,10.3333333333333
4909,"00791","<30%",15,17,0.0164835164835165,3,3,10.3333333333333
4910,"00791","<30%",15,17,0,2,3,10.3333333333333
4913,"00791","<30%",15,17,0.032967032967033,3,4,11.5
4914,"00791","<30%",15,17,0,2,3,10.3333333333333
4961,"00860","<30%",130,277,0,3,4,97.75
4965,"00860","<30%",130,277,0.00104469476744186,7,4,97.75
4979,"00860","<30%",130,277,0,3,4,97.75
4980,"00860","<30%",130,277,0.00133236434108527,4,4,97.75
4982,"00860","≥80%",130,277,0.00109011627906977,5,4,97.75
4983,"00860","≥80%",130,277,0.000968992248062015,3,4,97.75
4986,"00860","≥80%",130,277,0.00090843023255814,2,4,97.75
4987,"00860","≥80%",130,277,0.000726744186046512,4,4,97.75
5013,"00860","<30%",130,277,0,3,4,97.75
5022,"00860","<30%",130,277,0.000484496124031008,2,4,97.75
5026,"00860","<30%",130,277,0.000242248062015504,4,5,104.2
5033,"00860","<30%",130,277,0,2,4,97.75
5044,"00860","<30%",130,277,0.00218023255813953,3,4,97.75
5049,"00860","<30%",130,277,0.00115067829457364,2,4,97.75
5050,"00860","<30%",130,277,0,6,4,97.75
5054,"00860","<30%",130,277,0.00371850775193798,11,4,97.75
5069,"00860","<30%",130,277,0.000363372093023256,4,4,97.75
5070,"00860","<30%",130,277,0.000363372093023256,2,4,97.75
5071,"00860","<30%",130,277,0.000242248062015504,2,4,97.75
5089,"00900","<30%",52,160,0.0129411764705882,3,2,26.5
5100,"00900","<30%",52,160,0.0263772175536881,14,2,26.5
5117,"00900","<30%",52,160,0.0174509803921569,11,2,26.5
5124,"00900","<30%",52,160,0.00627450980392157,2,2,26.5
5136,"00901","<30%",34,30,0,4,9,30.3333333333333
5138,"00901","<30%",34,30,0.00284090909090909,4,9,30.3333333333333
5140,"00901","<30%",34,30,0.000946969696969697,2,9,30.3333333333333
5141,"00901","<30%",34,30,0,2,9,30.3333333333333
5147,"00901","<30%",34,30,0.00852272727272727,4,9,30.3333333333333
5149,"00901","<30%",34,30,0.00473484848484848,3,9,30.3333333333333
5161,"00901","<30%",34,30,0.00189393939393939,2,9,30.3333333333333
5162,"00901","<30%",34,30,0.00568181818181818,2,9,30.3333333333333
5163,"00901","<30%",34,30,0.00378787878787879,2,9,30.3333333333333
5165,"00901","<30%",34,30,0,2,9,30.3333333333333
5166,"00901","<30%",34,30,0.00378787878787879,2,9,30.3333333333333
5167,"00901","<30%",34,30,0.00568181818181818,2,9,30.3333333333333
5168,"00901","<30%",34,30,0.00189393939393939,2,9,30.3333333333333
5174,"00902","<30%",57,194,0.0262987012987013,4,4,43
5176,"00902","<30%",57,194,0.0012987012987013,3,4,43
5178,"00902","<30%",57,194,0.0025974025974026,3,4,43
5185,"00902","<30%",57,194,0.0188672438672439,17,4,43
5186,"00902","<30%",57,194,0.0471139971139971,19,4,43
5187,"00902","<30%",57,194,0.0169191919191919,17,4,43
5190,"00902","<30%",57,194,0,2,4,43
5191,"00902","<30%",57,194,0.00974025974025974,2,4,43
5193,"00902","<30%",57,194,0.0100649350649351,4,4,43
5194,"00902","<30%",57,194,0.00974025974025974,4,4,43
5201,"00902","<30%",57,194,0.00941558441558442,2,4,43
5203,"00902","<30%",57,194,0,5,4,43
5213,"00902","≥80%",57,194,0.0181818181818182,2,4,43
5214,"00902","<30%",57,194,0.0181818181818182,2,4,43
5216,"00902","<30%",57,194,0.00876623376623377,3,4,43
5220,"00902","<30%",57,194,0.00876623376623377,2,4,43
5223,"00902","<30%",57,194,0.00941558441558442,2,4,43
5224,"00902","<30%",57,194,0.00162337662337662,2,4,43
738,"00100","<30%",55,70,0,6,4,41.5
742,"00100","<30%",55,70,0.000349406009783368,2,4,41.5
751,"00100","<30%",55,70,0.00838574423480084,3,4,41.5
752,"00100","<30%",55,70,0.017120894479385,2,4,41.5
754,"00100","<30%",55,70,0,3,4,41.5
756,"00100","<30%",55,70,0.0115303983228512,2,4,41.5
758,"00100","<30%",55,70,0.00314465408805031,5,4,41.5
760,"00100","<30%",55,70,0.0139762403913347,3,4,41.5
761,"00100","<30%",55,70,0,2,4,41.5
765,"00100","<30%",55,70,0,3,4,41.5
767,"00100","<30%",55,70,0.00244584206848358,2,4,41.5
772,"00100","<30%",55,70,0.0010482180293501,4,4,41.5
773,"00100","<30%",55,70,0.0125786163522013,3,4,41.5
774,"00100","<30%",55,70,0.0139762403913347,2,4,41.5
775,"00100","<30%",55,70,0.00139762403913347,2,4,41.5
785,"00100","<30%",55,70,0.0157232704402516,2,4,41.5
786,"00100","<30%",55,70,0.00908455625436757,2,4,41.5
787,"00100","<30%",55,70,0.00209643605870021,2,4,41.5
788,"00100","<30%",55,70,0.0167714884696017,2,4,41.5
789,"00100","<30%",55,70,0.00489168413696716,2,4,41.5
790,"00100","<30%",55,70,0.00209643605870021,2,4,41.5
791,"00100","<30%",55,70,0.00419287211740042,2,4,41.5
792,"00100","<30%",55,70,0.00524109014675052,2,4,41.5
793,"00100","<30%",55,70,0.00559049615653389,4,4,41.5
5229,"00903","<30%",33,33,0.00201612903225806,2,5,26.6
5230,"00903","<30%",33,33,0,2,5,26.6
5231,"00903","<30%",33,33,0.00201612903225806,2,5,26.6
5232,"00903","<30%",33,33,0,3,5,26.6
5233,"00903","<30%",33,33,0.00201612903225806,3,5,26.6
5235,"00903","<30%",33,33,0.00201612903225806,2,5,26.6
5236,"00903","<30%",33,33,0.00100806451612903,2,5,26.6
5238,"00903","<30%",33,33,0.00100806451612903,2,5,26.6
5239,"00903","<30%",33,33,0,4,6,27.6666666666667
5240,"00903","<30%",33,33,0,2,5,26.6
5241,"00903","<30%",33,33,0,4,5,26.6
5249,"00903","<30%",33,33,0.00201612903225806,2,5,26.6
5250,"00903","<30%",33,33,0,3,5,26.6
5251,"00903","<30%",33,33,0.00201612903225806,2,5,26.6
5256,"00903","<30%",33,33,0.00201612903225806,3,6,27.6666666666667
5257,"00903","<30%",33,33,0.0030241935483871,4,5,26.6
5258,"00903","<30%",33,33,0.00201612903225806,3,5,26.6
5259,"00903","<30%",33,33,0.00201612903225806,3,6,27.6666666666667
5270,"00904","<30%",80,203,0.00292112950340798,6,7,68.7142857142857
5271,"00904","<30%",80,203,0.00576111652061019,10,7,68.7142857142857
5275,"00904","≥80%",80,203,0.014930217461863,16,7,68.7142857142857
5276,"00904","<30%",80,203,0.0230444660824408,20,7,68.7142857142857
5278,"00904","<30%",80,203,0.00973709834469328,12,7,68.7142857142857
5279,"00904","<30%",80,203,0.0136319376825706,16,7,68.7142857142857
5280,"00904","<30%",80,203,0.0068159688412853,3,7,68.7142857142857
5281,"00904","≥80%",80,203,0.00925024342745862,6,7,68.7142857142857
5282,"00904","<30%",80,203,0.00373255436546576,3,7,68.7142857142857
5285,"00904","<30%",80,203,0,2,7,68.7142857142857
5304,"00904","≥80%",80,203,0.000162284972411555,3,7,68.7142857142857
5312,"00904","<30%",80,203,0.00340798442064265,2,7,68.7142857142857
5313,"00904","<30%",80,203,0.00454397922752353,13,7,68.7142857142857
5314,"00904","<30%",80,203,0.00146056475170399,7,7,68.7142857142857
5315,"00904","<30%",80,203,0.00259655955858487,3,8,70.125
5316,"00904","<30%",80,203,0.000811424862057773,6,7,68.7142857142857
5317,"00904","<30%",80,203,0.00551768906199286,7,7,68.7142857142857
5319,"00904","<30%",80,203,0.00259655955858487,12,7,68.7142857142857
5321,"00904","<30%",80,203,0.000973709834469328,6,7,68.7142857142857
5322,"00904","<30%",80,203,0.000649139889646219,2,7,68.7142857142857
5331,"00904","<30%",80,203,0.0162284972411555,10,7,68.7142857142857
5333,"00904","<30%",80,203,0.0160662122687439,5,7,68.7142857142857
5349,"00904","<30%",80,203,0.00227198961376177,3,7,68.7142857142857
5354,"00904","<30%",80,203,0.00292112950340798,12,7,68.7142857142857
5369,"00906","<30%",107,255,0,2,5,85.8
5373,"00906","<30%",107,255,8.98472596585804e-05,2,5,85.8
5376,"00906","<30%",107,255,0.00355445742238195,8,5,85.8
5377,"00906","<30%",107,255,0.00356993111710093,7,5,85.8
5386,"00906","<30%",107,255,0.000359389038634322,3,5,85.8
5387,"00906","<30%",107,255,0.000179694519317161,2,5,85.8
5389,"00906","<30%",107,255,0,3,5,85.8
5390,"00906","<30%",107,255,0,2,5,85.8
5391,"00906","<30%",107,255,0.000179694519317161,2,5,85.8
5392,"00906","<30%",107,255,0.000539083557951483,3,5,85.8
5393,"00906","<30%",107,255,0.00242587601078167,3,5,85.8
5394,"00906","<30%",107,255,0,2,5,85.8
5395,"00906","<30%",107,255,0,2,5,85.8
5396,"00906","<30%",107,255,0.00792804333473431,12,5,85.8
5401,"00906","<30%",107,255,0.0036837376460018,12,5,85.8
5403,"00906","<30%",107,255,0.000584007187780773,4,5,85.8
5404,"00906","<30%",107,255,0.000539083557951483,3,5,85.8
5432,"00906","<30%",107,255,0.00260557053009883,4,6,89.3333333333333
5433,"00906","<30%",107,255,0.00559201458361122,11,5,85.8
5444,"00906","<30%",107,255,8.98472596585804e-05,2,5,85.8
5447,"00906","<30%",107,255,0.0123959269242288,11,5,85.8
5451,"00906","<30%",107,255,0,2,5,85.8
5457,"00906","<30%",107,255,0.0104813917181128,10,5,85.8
5458,"00906","<30%",107,255,0.00350404312668464,2,5,85.8
5459,"00906","<30%",107,255,0.00682839173405211,2,5,85.8
5473,"00906","<30%",107,255,0,7,5,85.8
5474,"00906","<30%",107,255,8.98472596585804e-05,2,5,85.8
5487,"00909","<30%",81,1100,0.0173110568665547,43,3,54.3333333333333
5496,"00909","<30%",81,1100,0.0107841581323775,42,3,54.3333333333333
5497,"00909","<30%",81,1100,0.0101789629015608,42,3,54.3333333333333
5499,"00909","<30%",81,1100,0.0229177834386482,42,3,54.3333333333333
5504,"00909","<30%",81,1100,0.0101178414737014,42,3,54.3333333333333
5508,"00909","<30%",81,1100,0.00748181509399401,42,3,54.3333333333333
5517,"00909","<30%",81,1100,0.0132911392405063,2,3,54.3333333333333
5519,"00909","<30%",81,1100,0.00680379746835443,2,3,54.3333333333333
5523,"00909","<30%",81,1100,0.0108911221293805,42,3,54.3333333333333
5527,"00909","<30%",81,1100,0.0104402053755633,42,3,54.3333333333333
5542,"00909","<30%",81,1100,0.000791139240506329,21,3,54.3333333333333
5550,"00909","<30%",81,1100,0.00332278481012658,25,3,54.3333333333333
5563,"00909","<30%",81,1100,0.0174777794846047,42,3,54.3333333333333
5590,"00910","<30%",49,235,0.0115248226950355,2,6,41
5592,"00910","<30%",49,235,0.0221631205673759,2,6,41
5593,"00910","<30%",49,235,0.0345559988179669,18,6,41
5605,"00910","<30%",49,235,0,2,6,41
5608,"00910","<30%",49,235,0.000886524822695035,3,7,42.1428571428571
5620,"00910","<30%",49,235,0,3,7,42.1428571428571
5648,"00920","<30%",60,312,0.00233781414377557,5,4,45.25
5662,"00920","<30%",60,312,0.00146113383985973,2,4,45.25
