dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
183,mmu,40,ec:1.1.1.22,mmu:22235,1,rn:R00286,reversible,0,19,1,4,1,3
206,mmu,40,ec:1.1.1.179,mmu:71755,0,rn:R01430,irreversible,0,4,3,2,1,3
215,mmu,40,ec:1.1.1.14,mmu:20322,0,rn:R01896,reversible,0.0171370967741935,5,3,2,1,3
216,mmu,40,ec:1.1.1.2,mmu:58810,1,rn:R01481,reversible,0.00201612903225806,3,1,4,1,3
226,mmu,51,ec:1.1.1.21,mmu:11677 / mmu:11997 / mmu:14187 / mmu:67861,0,rn:R01787,reversible,0,1,1,8,5,4
227,mmu,51,ec:1.1.1.14,mmu:20322,1,rn:R00875,reversible,0.089126559714795,9,1,7,5,4
229,mmu,51,ec:2.7.1.3,mmu:16548,0,rn:R00866,irreversible,0.0222816399286988,9,2,7,5,4
238,mmu,51,ec:2.7.1.1,mmu:15275 / mmu:15277 / mmu:212032 / mmu:216019,0,rn:R01326,irreversible,0.0198306595365419,15,3,6,5,4
241,mmu,51,ec:2.7.1.1,mmu:15275 / mmu:15277 / mmu:212032 / mmu:216019,0,rn:R00867,irreversible,0.0198306595365419,15,3,6,5,4
243,mmu,51,ec:3.1.3.46,mmu:170768 / mmu:18639 / mmu:18640 / mmu:270198 / mmu:319801,0,rn:R02731,irreversible,0,10,3,7,5,4
246,mmu,51,ec:5.3.1.8,mmu:110119,0,rn:R01819,reversible,0.017825311942959,16,3,6,5,4
247,mmu,51,ec:5.4.2.8,mmu:29858 / mmu:54128,0,rn:R01818,reversible,0.0142602495543672,7,3,5,5,4
248,mmu,51,ec:2.7.7.30,mmu:75540,1,rn:R01951,reversible,0,2,4,8,5,4
249,mmu,51,ec:1.1.1.271,mmu:22122,1,rn:R05692,irreversible,0.00267379679144385,2,4,7,5,4
250,mmu,51,ec:4.2.1.47,mmu:218138,1,rn:R00888,irreversible,0.0035650623885918,3,5,6,5,4
251,mmu,51,ec:2.7.7.13,mmu:331026 / mmu:69080,0,rn:R00885,irreversible,0,3,5,5,5,4
255,mmu,51,ec:2.7.1.11,mmu:18641 / mmu:18642 / mmu:56421,0,rn:R04779,irreversible,0.0148544266191325,14,3,7,5,4
260,mmu,51,ec:5.3.1.1,mmu:21991,0,rn:R01015,reversible,0,5,2,9,5,4
261,mmu,51,ec:4.1.2.13,mmu:11674 / mmu:11676 / mmu:230163 / mmu:353204,0,rn:R02568,reversible,0.00668449197860963,9,2,8,5,4
262,mmu,51,ec:2.7.1.28,mmu:225913,0,rn:R01059,irreversible,0.0106951871657754,9,2,9,5,4
263,mmu,51,ec:4.1.2.13,mmu:11674 / mmu:11676 / mmu:230163 / mmu:353204,0,rn:R01070,reversible,0.00668449197860963,9,2,8,5,4
271,mmu,51,ec:3.1.3.11,mmu:14120 / mmu:14121,0,rn:R04780,irreversible,0,14,3,7,5,4
279,mmu,51,ec:2.7.1.52,mmu:234730,0,rn:R03161,irreversible,0,1,4,9,5,4
304,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R03634,irreversible,0.0264550264550265,13,1,4,3,4
306,mmu,52,ec:2.7.1.11,mmu:18641 / mmu:18642 / mmu:56421,0,rn:R03236 rn:R03237 rn:R03238 rn:R03239,reversible,NA,NA,NA,NA,NA,NA
