"","X","entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification","lethal_nonlethal","entrezgene_accession"
"34",34,32,"ec:6.2.1.5","gene","rn:R00405",260,579,"rectangle",46,17,"#BFFFBF","sce:YGR244C / sce:YOR142W",63,"reversible","sce",20,0,1,0.093010752688172,1,0,0,0.00224719101123595,4,0,4,4,7,8,1.30699421573495e-16,8.70022039550782e-17,"NHNB","nonlethal",""
"35",35,33,"ec:6.2.1.4","gene","rn:R00432 rn:R00727",260,560,"rectangle",46,17,"#BFFFBF","sce:YGR244C / sce:YOR142W",64,"reversible","sce",20,0,1,0.093010752688172,1,0,0,0.00224719101123595,4,0,4,4,7,8,1.30699421573495e-16,8.70022039550782e-17,"NHNB","nonlethal",""
"36",36,34,"ec:1.1.1.42","gene","rn:R00268",718,510,"rectangle",46,17,"#BFFFBF","sce:YDL066W / sce:YLR174W / sce:YNL009W",65,"reversible","sce",20,0,1,0.000716845878136201,2,4,0.666666666666667,0.00114942528735632,2,0.816496580927726,4,4,7,6,4.06639837359121e-17,1.79421719656016e-16,"NHNB","nonlethal",""
"37",37,35,"ec:1.1.1.41","gene","rn:R00709",766,463,"rectangle",46,17,"#BFFFBF","sce:YNL037C / sce:YOR136W",66,"reversible","sce",20,0,1,0.0032258064516129,3,6,0.6,0.00115074798619102,2,1,4,4,7,8,3.4878248880856e-17,1.85725080721201e-16,"NHNB","nonlethal",""
"38",38,36,"ec:1.1.1.42","gene","rn:R01899",718,405,"rectangle",46,17,"#BFFFBF","sce:YDL066W / sce:YLR174W / sce:YNL009W",67,"reversible","sce",20,0,1,0.000716845878136201,2,4,0.666666666666667,0.00114942528735632,2,0.816496580927726,4,4,7,6,4.06639837359121e-17,1.79421719656016e-16,"NHNB","nonlethal",""
"39",39,38,"ec:4.2.1.2","gene","rn:R01082",191,441,"rectangle",46,17,"#BFFFBF","sce:YPL262W",69,"reversible","sce",20,0,1,0.0516129032258064,7,0,0,0.00485436893203883,4,2.13380188364961e-16,4,4,7,10,0.511823935839207,3.89474195318633e-16,"HNB","nonlethal",""
"40",40,39,"ec:4.2.1.3","gene","rn:R01900",670,350,"rectangle",46,17,"#BFFFBF","sce:YLR304C",70,"reversible","sce",20,0,1,0.0376344086021505,5,6,0.214285714285714,0.001194743130227,2,7.75974796999598e-16,4,4,7,8,0.317417587805454,3.83170834253447e-16,"NHNB","nonlethal",""
"41",41,40,"ec:4.2.1.3","gene","rn:R01325",571,350,"rectangle",46,17,"#BFFFBF","sce:YLR304C",71,"reversible","sce",20,0,1,0.0376344086021505,5,6,0.214285714285714,0.001194743130227,2,7.75974796999598e-16,4,4,7,8,0.317417587805454,3.83170834253447e-16,"NHNB","nonlethal",""
"42",42,41,"ec:2.3.3.1","gene","rn:R00351",436,331,"rectangle",46,17,"#BFFFBF","sce:YCR005C / sce:YNR001C / sce:YPR001W",72,"reversible","sce",20,0,1,0.016047107014849,4,11,0.392857142857143,0.00139275766016713,5,3.80596260428837e-16,4,4,7,8,0.589568125384794,0.620169487159689,"NHNB","nonlethal",""
"43",43,42,"ec:1.1.1.37","gene","rn:R00342",253,349,"rectangle",46,17,"#BFFFBF","sce:YDL078C / sce:YKL085W / sce:YOL126C",73,"reversible","sce",20,0,1,0,7,11,0.523809523809524,0.00689655172413793,5,0,4,4,7,7,8.76052215784374e-18,1,"NHNB","nonlethal",""
"44",44,43,"ec:6.4.1.1","gene","rn:R00344",736,278,"rectangle",46,17,"#BFFFBF","sce:YBR218C / sce:YGL062W",74,"irreversible","sce",20,0,1,0.00506912442396313,1,16,0.444444444444444,0.00104058272632674,5,3.22064380166198e-15,4,4,7,9,1,0.17178626557379,"HNB","nonlethal",""
