"","id","pathway","x","y","reaction","ec"
"205",205,"00040",389,159,"rn:R02361","ec:4.2.2.9"
"206",206,"00040",254,650,"rn:R01430","ec:1.1.1.179"
"207",207,"00040",364,375,"rn:R01381","ec:2.7.7.44"
"208",208,"00040",412,842,"rn:R07134","ec:1.1.1.250"
"209",209,"00040",462,764,"rn:R07143","ec:1.1.1.287"
"210",210,"00040",462,842,"rn:R07144","ec:1.1.1.287"
"211",211,"00040",833,251,"rn:R10563","ec:1.1.1.372"
"212",212,"00040",646,251,"rn:R10532","ec:4.2.1.146"
"213",213,"00040",739,251,"rn:R10550","ec:4.1.2.54"
"214",214,"00040",388,610,"rn:R01431 rn:R09477","ec:1.1.1.307"
"215",215,"00040",462,695,"rn:R01896","ec:1.1.1.14"
"216",216,"00040",607,375,"rn:R01481","ec:1.1.1.2"
"217",217,"00040",604,321,"rn:R10848","ec:1.1.1.380"
"218",218,"00040",150,829,"rn:R09186","ec:4.2.1.141"
"219",219,"00040",61,864,"rn:R00264","ec:1.2.1.26"
"220",220,"00040",541,261,"rn:R07676","ec:1.1.1.365"
"221",221,"00040",388,669,"rn:R07152","ec:1.1.3.41"
"222",222,"00040",389,301,"rn:R11624","ec:5.1.2.7"
"223",223,"00040",598,889,"rn:R01525","ec:1.1.1.405"
