"","pathway","Eukaryotes","Prokaryotes","Animals","Plants","Fungi","Protists","Bacteria","Archaea"
"208","03022",531,299,248,105,128,50,0,299
"209","03030",531,5570,248,105,128,50,5271,299
"210","03040",531,0,248,105,128,50,0,0
"211","03050",531,687,248,105,128,50,388,299
"212","03060",531,5555,248,105,128,50,5256,299
"213","03070",0,5555,0,0,0,0,5256,299
"214","03320",145,0,145,0,0,0,0,0
"215","03410",531,5536,248,105,128,50,5237,299
"216","03420",531,5532,248,105,128,50,5233,299
"217","03430",531,5559,248,105,128,50,5260,299
"218","03440",531,5495,248,105,128,50,5251,244
"219","03450",531,1315,248,105,128,50,1297,18
"220","03460",248,0,248,0,0,0,0,0
"221","04010",151,0,151,0,0,0,0,0
"222","04011",128,0,0,0,128,0,0,0
"223","04012",151,0,151,0,0,0,0,0
"224","04013",64,0,64,0,0,0,0,0
"225","04014",65,0,65,0,0,0,0,0
"226","04015",65,0,65,0,0,0,0,0
"227","04016",105,0,0,105,0,0,0,0
"228","04020",151,0,151,0,0,0,0,0
"229","04022",65,0,65,0,0,0,0,0
"230","04024",65,0,65,0,0,0,0,0
"231","04060",145,0,145,0,0,0,0,0
"232","04061",65,0,65,0,0,0,0,0
"233","04062",65,0,65,0,0,0,0,0
"234","04064",65,0,65,0,0,0,0,0
"235","04066",65,0,65,0,0,0,0,0
"236","04068",248,0,248,0,0,0,0,0
"237","04070",531,0,248,105,128,50,0,0
"238","04071",65,0,65,0,0,0,0,0
"239","04072",65,0,65,0,0,0,0,0
"240","04075",102,0,0,102,0,0,0,0
"241","04080",248,0,248,0,0,0,0,0
"242","04110",145,0,145,0,0,0,0,0
"243","04111",128,0,0,0,128,0,0,0
"244","04112",0,10,0,0,0,0,10,0
"245","04113",128,0,0,0,128,0,0,0
"246","04114",145,0,145,0,0,0,0,0
"247","04115",145,0,145,0,0,0,0,0
"248","04120",531,0,248,105,128,50,0,0
"249","04122",530,5404,248,105,128,49,5107,297
"250","04130",530,0,248,105,128,49,0,0
"251","04136",529,0,248,105,127,49,0,0
"252","04137",248,0,248,0,0,0,0,0
"253","04138",128,0,0,0,128,0,0,0
"254","04139",128,0,0,0,128,0,0,0
"255","04140",248,0,248,0,0,0,0,0
"256","04141",531,0,248,105,128,50,0,0
"257","04142",248,0,248,0,0,0,0,0
"258","04144",531,0,248,105,128,50,0,0
"259","04145",531,0,248,105,128,50,0,0
"260","04146",531,0,248,105,128,50,0,0
"261","04150",248,0,248,0,0,0,0,0
"262","04151",65,0,65,0,0,0,0,0
"263","04152",65,0,65,0,0,0,0,0
"264","04210",145,0,145,0,0,0,0,0
"265","04211",65,0,65,0,0,0,0,0
"266","04212",6,0,6,0,0,0,0,0
"267","04213",167,0,135,0,32,0,0,0
"268","04214",64,0,64,0,0,0,0,0
"269","04215",143,0,143,0,0,0,0,0
"270","04216",145,0,145,0,0,0,0,0
"271","04217",145,0,145,0,0,0,0,0
"272","04218",145,0,145,0,0,0,0,0
"273","04260",145,0,145,0,0,0,0,0
"274","04261",145,0,145,0,0,0,0,0
"275","04270",145,0,145,0,0,0,0,0
"276","04310",248,0,248,0,0,0,0,0
"277","04320",64,0,64,0,0,0,0,0
"278","04330",248,0,248,0,0,0,0,0
"279","04340",145,0,145,0,0,0,0,0
"280","04341",64,0,64,0,0,0,0,0
"281","04350",248,0,248,0,0,0,0,0
"282","04360",65,0,65,0,0,0,0,0
"283","04361",6,0,6,0,0,0,0,0
"284","04370",145,0,145,0,0,0,0,0
"285","04371",145,0,145,0,0,0,0,0
"286","04380",65,0,65,0,0,0,0,0
"287","04390",65,0,65,0,0,0,0,0
"288","04391",64,0,64,0,0,0,0,0
"289","04392",167,0,135,0,32,0,0,0
"290","04510",145,0,145,0,0,0,0,0
"291","04512",248,0,248,0,0,0,0,0
"292","04514",145,0,145,0,0,0,0,0
"293","04520",145,0,145,0,0,0,0,0
"294","04530",145,0,145,0,0,0,0,0
"295","04540",145,0,145,0,0,0,0,0
"296","04550",65,0,65,0,0,0,0,0
"297","04610",65,0,65,0,0,0,0,0
"298","04611",65,0,65,0,0,0,0,0
"299","04612",65,0,65,0,0,0,0,0
"300","04614",65,0,65,0,0,0,0,0
"301","04620",145,0,145,0,0,0,0,0
"302","04621",145,12,145,0,0,0,12,0
"303","04622",145,0,145,0,0,0,0,0
"304","04623",145,0,145,0,0,0,0,0
"305","04624",64,0,64,0,0,0,0,0
"306","04625",145,0,145,0,0,0,0,0
"307","04626",88,11,0,88,0,0,11,0
"308","04630",65,0,65,0,0,0,0,0
"309","04640",65,0,65,0,0,0,0,0
"310","04650",65,0,65,0,0,0,0,0
"311","04657",65,0,65,0,0,0,0,0
"312","04658",65,0,65,0,0,0,0,0
"313","04659",65,0,65,0,0,0,0,0
"314","04660",65,0,65,0,0,0,0,0
"315","04662",65,0,65,0,0,0,0,0
"316","04664",65,0,65,0,0,0,0,0
"317","04666",65,0,65,0,0,0,0,0
"318","04668",65,0,65,0,0,0,0,0
"319","04670",65,0,65,0,0,0,0,0
"320","04672",145,0,145,0,0,0,0,0
"321","04710",65,0,65,0,0,0,0,0
"322","04711",64,0,64,0,0,0,0,0
"323","04712",105,0,0,105,0,0,0,0
"324","04713",65,0,65,0,0,0,0,0
