"","node1","node2","org","pathway","EC"
"143","hsa:2023","hsa:441531","hsa","00010","4.2.1.11"
"144","hsa:2023","hsa:5223","hsa","00010","4.2.1.11"
"145","hsa:2023","hsa:5224","hsa","00010","4.2.1.11"
"146","hsa:2023","hsa:669","hsa","00010","4.2.1.11"
"147","hsa:2026","hsa:441531","hsa","00010","4.2.1.11"
"148","hsa:2026","hsa:5223","hsa","00010","4.2.1.11"
"149","hsa:2026","hsa:5224","hsa","00010","4.2.1.11"
"150","hsa:2026","hsa:669","hsa","00010","4.2.1.11"
"151","hsa:2027","hsa:441531","hsa","00010","4.2.1.11"
"152","hsa:2027","hsa:5223","hsa","00010","4.2.1.11"
"153","hsa:2027","hsa:5224","hsa","00010","4.2.1.11"
"154","hsa:2027","hsa:669","hsa","00010","4.2.1.11"
"155","hsa:387712","hsa:441531","hsa","00010","4.2.1.11"
"156","hsa:387712","hsa:5223","hsa","00010","4.2.1.11"
"157","hsa:387712","hsa:5224","hsa","00010","5.4.2.11"
"158","hsa:387712","hsa:669","hsa","00010","5.4.2.11"
"159","hsa:441531","hsa:5230","hsa","00010","5.4.2.11"
"160","hsa:441531","hsa:5232","hsa","00010","5.4.2.11"
"161","hsa:441531","hsa:9562","hsa","00010","5.4.2.11"
"162","hsa:5223","hsa:5230","hsa","00010","5.4.2.11"
"163","hsa:5223","hsa:5232","hsa","00010","5.4.2.11"
"164","hsa:5223","hsa:9562","hsa","00010","5.4.2.11"
"165","hsa:5224","hsa:5230","hsa","00010","5.4.2.11"
"166","hsa:5224","hsa:5232","hsa","00010","5.4.2.4 / 5.4.2.11"
"167","hsa:5224","hsa:9562","hsa","00010","5.4.2.4 / 5.4.2.11"
"168","hsa:669","hsa:5230","hsa","00010","5.4.2.4 / 5.4.2.11"
"169","hsa:669","hsa:5232","hsa","00010","5.4.2.4 / 5.4.2.11"
"170","hsa:669","hsa:441531","hsa","00010","5.4.2.4 / 5.4.2.11"
"171","hsa:669","hsa:5223","hsa","00010","5.4.2.4 / 5.4.2.11"
"172","hsa:669","hsa:5224","hsa","00010","5.4.2.4 / 5.4.2.11"
"173","hsa:669","hsa:669","hsa","00010","1.2.1.12"
"174","hsa:669","hsa:9562","hsa","00010","1.2.1.12"
"175","hsa:2597","hsa:5230","hsa","00010","1.2.1.12"
"176","hsa:2597","hsa:5232","hsa","00010","1.2.1.12"
"177","hsa:2597","hsa:669","hsa","00010","1.2.1.12"
"178","hsa:26330","hsa:5230","hsa","00010","1.2.1.12"
"179","hsa:26330","hsa:5232","hsa","00010","5.3.1.1"
"180","hsa:26330","hsa:669","hsa","00010","5.3.1.1"
"181","hsa:7167","hsa:226","hsa","00010","5.3.1.1"
"182","hsa:7167","hsa:229","hsa","00010","5.3.1.1"
"183","hsa:7167","hsa:230","hsa","00010","5.3.1.1"
"184","hsa:7167","hsa:2597","hsa","00010","2.7.1.11"
"185","hsa:7167","hsa:26330","hsa","00010","2.7.1.11"
"186","hsa:5211","hsa:2821","hsa","00010","2.7.1.11"
"187","hsa:5213","hsa:2821","hsa","00010","3.1.3.11"
"188","hsa:5214","hsa:2821","hsa","00010","3.1.3.11"
"189","hsa:2203","hsa:2821","hsa","00010","5.3.1.9"
"190","hsa:8789","hsa:2821","hsa","00010","5.3.1.9"
"191","hsa:2821","hsa:2645","hsa","00010","5.3.1.9"
"192","hsa:2821","hsa:3098","hsa","00010","5.3.1.9"
"193","hsa:2821","hsa:3099","hsa","00010","5.3.1.9"
"194","hsa:2821","hsa:3101","hsa","00010","5.3.1.9"
"195","hsa:2821","hsa:80201","hsa","00010","5.3.1.9"
"196","hsa:2821","hsa:2538","hsa","00010","5.3.1.9"
"197","hsa:2821","hsa:57818","hsa","00010","5.3.1.9"
