org,pathway,name,entrez,is_bottleneck,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
hsa,53,ec:1.1.1.22,hsa:7358,0,irreversible,0,19,1,2,2,1
hsa,53,ec:3.1.1.17,hsa:9104,0,reversible,NA,NA,NA,NA,NA,NA
hsa,53,ec:2.4.1.17,hsa:10720 / hsa:10941 / hsa:54490 / hsa:54575 / hsa:54576 / hsa:54577 / hsa:54578 / hsa:54579 / hsa:54600 / hsa:54657 / hsa:54658 / hsa:54659 / hsa:574537 / hsa:7363 / hsa:7364 / hsa:7365 / hsa:7366 / hsa:7367 / hsa:79799,0,irreversible,0,2,1,2,2,1
hsa,53,ec:1.2.1.3,hsa:217 / hsa:219 / hsa:223 / hsa:224 / hsa:501,0,reversible,NA,NA,NA,NA,NA,NA
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:3.1.2.21,hsa:55301,0,irreversible,0,4,2,2,1,3
hsa,61,ec:3.1.2.21,hsa:55301,0,irreversible,0,4,2,2,1,3
hsa,61,ec:3.1.2.21,hsa:55301,0,irreversible,0,4,2,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,reversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.39,hsa:27349,0,irreversible,0.0104166666666667,7,3,2,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:6.4.1.2,hsa:31 / hsa:32,0,reversible,0.0579044117647059,6,4,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:6.2.1.3,hsa:2180 / hsa:2181 / hsa:2182 / hsa:23205 / hsa:23305 / hsa:51703 / hsa:81616,0,irreversible,0,1,5,2,1,3
hsa,61,NA,hsa:197322,0,irreversible,0.00122549019607843,5,3,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:84869,0,reversible,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:7923,0,NA,0.00214460784313725,5,1,2,1,3
hsa,61,NA,hsa:51102,0,reversible,0.0569852941176471,7,1,2,1,3
hsa,61,NA,hsa:109703458,0,reversible,0.00490196078431373,5,1,2,1,3
hsa,61,NA,hsa:197322,0,irreversible,0.00122549019607843,5,3,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:6.2.1.3,hsa:2180 / hsa:2181 / hsa:2182 / hsa:23205 / hsa:23305 / hsa:51703 / hsa:81616,0,irreversible,0,1,5,2,1,3
hsa,61,ec:2.3.1.85,hsa:2194,1,irreversible,0.40625,23,1,1,1,3
hsa,61,ec:6.2.1.3,hsa:2180 / hsa:2181 / hsa:2182 / hsa:23305 / hsa:51703,0,irreversible,0,1,5,2,1,3
hsa,61,ec:2.3.1.39,hsa:27349,0,irreversible,0.0104166666666667,7,3,2,1,3
hsa,61,ec:2.3.1.39,hsa:27349,0,irreversible,0.0104166666666667,7,3,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:2.3.1.179,hsa:54995,0,irreversible,0.0425857843137255,11,1,2,1,3
hsa,61,ec:6.4.1.2,hsa:31,0,reversible,0.0579044117647059,6,4,2,1,3
hsa,61,ec:6.4.1.2,hsa:31,0,reversible,0.0579044117647059,6,4,2,1,3
hsa,61,ec:6.4.1.2,hsa:31,0,reversible,0.0579044117647059,6,4,2,1,3
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,61,NA,undefined,0,NA,NA,NA,NA,NA,NA,NA
hsa,62,ec:3.1.2.22,hsa:5538 / hsa:9374,0,irreversible,0,2,1,3,2,3
hsa,62,ec:1.3.1.38,hsa:51102,1,irreversible,0.0348717948717949,10,1,2,2,3
hsa,62,ec:4.2.1.17,hsa:1892 / hsa:3030,0,reversible,0.00346153846153846,6,1,2,2,3
hsa,62,ec:1.1.1.211,hsa:3030,0,reversible,0.0167948717948718,12,1,2,2,3
hsa,62,ec:2.3.1.16,hsa:10449 / hsa:3032,0,irreversible,0.00115384615384615,5,1,2,2,3
hsa,62,ec:1.3.1.38,hsa:51102,1,irreversible,0.0348717948717949,10,1,2,2,3
hsa,62,ec:4.2.1.17,hsa:1892 / hsa:3030,0,reversible,0.00346153846153846,6,1,2,2,3
hsa,62,ec:1.1.1.211,hsa:3030,0,reversible,0.0167948717948718,12,1,2,2,3
hsa,62,ec:2.3.1.16,hsa:10449 / hsa:3032,0,irreversible,0.00115384615384615,5,1,2,2,3
hsa,62,ec:1.3.1.38,hsa:51102,1,irreversible,0.0348717948717949,10,1,2,2,3
hsa,62,ec:4.2.1.17,hsa:1892 / hsa:3030,0,reversible,0.00346153846153846,6,1,2,2,3
hsa,62,ec:1.1.1.211,hsa:3030,0,reversible,0.0167948717948718,12,1,2,2,3
hsa,62,ec:2.3.1.16,hsa:10449 / hsa:3032,0,irreversible,0.00115384615384615,5,1,2,2,3
hsa,62,ec:1.3.1.38,hsa:51102,1,irreversible,0.0348717948717949,10,1,2,2,3
hsa,62,ec:4.2.1.17,hsa:1892 / hsa:3030,0,reversible,0.00346153846153846,6,1,2,2,3
hsa,62,ec:1.1.1.211,hsa:3030,0,reversible,0.0167948717948718,12,1,2,2,3
hsa,62,ec:1.1.1.35,hsa:3033,0,reversible,0.0041025641025641,8,1,3,2,3
hsa,62,ec:2.3.1.16,hsa:10449 / hsa:3032,0,irreversible,0.00115384615384615,5,1,2,2,3
hsa,62,ec:1.3.1.38,hsa:51102,1,irreversible,0.0348717948717949,10,1,2,2,3
hsa,62,ec:4.2.1.17,hsa:1892 / hsa:3030,0,reversible,0.00346153846153846,6,1,2,2,3
hsa,62,ec:1.1.1.211,hsa:3030,0,reversible,0.0167948717948718,12,1,2,2,3
hsa,62,ec:1.1.1.35,hsa:3033,0,reversible,0.0041025641025641,8,1,3,2,3
hsa,62,ec:2.3.1.16,hsa:10449 / hsa:3032,0,irreversible,0.00115384615384615,5,1,2,2,3
