"org","ensemblID","entrezGeneID","entrezGeneAccession"
"hsa","ENSG00000009335",9690,"UBE3C"
"hsa","ENSG00000009413",5980,"REV3L"
"hsa","ENSG00000009694",10178,"TENM1"
"hsa","ENSG00000009709",5081,"PAX7"
"hsa","ENSG00000009724",10747,"MASP2"
"hsa","ENSG00000009765",389434,"IYD"
"hsa","ENSG00000009780",199870,"FAM76A"
"hsa","ENSG00000009790",80342,"TRAF3IP3"
"hsa","ENSG00000009830",29954,"POMT2"
"hsa","ENSG00000009844",51534,"VTA1"
"hsa","ENSG00000009950",51085,"MLXIPL"
"hsa","ENSG00000009954",9031,"BAZ1B"
"hsa","ENSG00000010017",10048,"RANBP9"
"hsa","ENSG00000010030",51513,"ETV7"
"hsa","ENSG00000010072",83932,"SPRTN"
"hsa","ENSG00000010165",51603,"EEF1AKNMT"
"hsa","ENSG00000010219",8798,"DYRK4"
"hsa","ENSG00000010244",7756,"ZNF207"
"hsa","ENSG00000010256",7384,"UQCRC1"
"hsa","ENSG00000010270",83930,"STARD3NL"
"hsa","ENSG00000010278",928,"CD9"
"hsa","ENSG00000010282",57467,"HHATL"
"hsa","ENSG00000010292",9918,"NCAPD2"
"hsa","ENSG00000010295",25900,"IFFO1"
"hsa","ENSG00000010310",2696,"GIPR"
"hsa","ENSG00000010318",51533,"PHF7"
"hsa","ENSG00000010319",56920,"SEMA3G"
"hsa","ENSG00000010322",11188,"NISCH"
"hsa","ENSG00000010327",23166,"STAB1"
"hsa","ENSG00000010361",80199,"FUZ"
"hsa","ENSG00000010379",6540,"SLC6A13"
"hsa","ENSG00000010404",3423,"IDS"
"hsa","ENSG00000010438",5646,"PRSS3"
"hsa","ENSG00000010539",7752,"ZNF200"
"hsa","ENSG00000010610",920,"CD4"
"hsa","ENSG00000010626",10233,"LRRC23"
"hsa","ENSG00000010671",695,"BTK"
"hsa","ENSG00000010704",3077,"HFE"
"hsa","ENSG00000010803",22955,"SCMH1"
"hsa","ENSG00000010810",2534,"FYN"
"hsa","ENSG00000010818",3097,"HIVEP2"
"hsa","ENSG00000010932",2326,"FMO1"
"hsa","ENSG00000011007",6924,"ELOA"
"hsa","ENSG00000011009",11313,"LYPLA2"
"hsa","ENSG00000011021",1185,"CLCN6"
"hsa","ENSG00000011028",9902,"MRC2"
"hsa","ENSG00000011052",654364,"NME1-NME2"
"hsa","ENSG00000011083",6534,"SLC6A7"
"hsa","ENSG00000011105",10867,"TSPAN9"
"hsa","ENSG00000011114",55727,"BTBD7"
"hsa","ENSG00000011132",9546,"APBA3"
"hsa","ENSG00000011143",54903,"MKS1"
"hsa","ENSG00000011198",51099,"ABHD5"
"hsa","ENSG00000011201",3730,"ANOS1"
"hsa","ENSG00000011243",26993,"AKAP8L"
"hsa","ENSG00000011258",54799,"MBTD1"
"hsa","ENSG00000011260",51096,"UTP18"
"hsa","ENSG00000011275",54476,"RNF216"
"hsa","ENSG00000011295",54902,"TTC19"
"hsa","ENSG00000011304",5725,"PTBP1"
"hsa","ENSG00000011332",8193,"DPF1"
"hsa","ENSG00000011347",9066,"SYT7"
"hsa","ENSG00000011376",23395,"LARS2"
"hsa","ENSG00000011405",5286,"PIK3C2A"
"hsa","ENSG00000011422",5329,"PLAUR"
"hsa","ENSG00000011426",54443,"ANLN"
"hsa","ENSG00000011451",58525,"WIZ"
"hsa","ENSG00000011454",23637,"RABGAP1"
"hsa","ENSG00000011465",1634,"DCN"
"hsa","ENSG00000011478",54814,"QPCTL"
"hsa","ENSG00000011485",5536,"PPP5C"
"hsa","ENSG00000011523",23177,"CEP68"
"hsa","ENSG00000011566",8491,"MAP4K3"
"hsa","ENSG00000011590",27033,"ZBTB32"
"hsa","ENSG00000011600",7305,"TYROBP"
"hsa","ENSG00000011638",57146,"TMEM159"
"hsa","ENSG00000011677",2556,"GABRA3"
"hsa","ENSG00000012048",672,"BRCA1"
"hsa","ENSG00000012061",2067,"ERCC1"
"hsa","ENSG00000012124",933,"CD22"
"hsa","ENSG00000012171",7869,"SEMA3B"
"hsa","ENSG00000012174",51360,"MBTPS2"
"hsa","ENSG00000012211",4007,"PRICKLE3"
"hsa","ENSG00000012223",4057,"LTF"
"hsa","ENSG00000012232",2137,"EXTL3"
"hsa","ENSG00000012504",9971,"NR1H4"
"hsa","ENSG00000012660",60481,"ELOVL5"
"hsa","ENSG00000012779",240,"ALOX5"
"hsa","ENSG00000012817",8284,"KDM5D"
"hsa","ENSG00000012822",57658,"CALCOCO1"
"hsa","ENSG00000012963",55148,"UBR7"
"hsa","ENSG00000012983",11183,"MAP4K5"
"hsa","ENSG00000013016",30845,"EHD3"
"hsa","ENSG00000013275",5704,"PSMC4"
"hsa","ENSG00000013288",23324,"MAN2B2"
"hsa","ENSG00000013293",57709,"SLC7A14"
"hsa","ENSG00000013297",5010,"CLDN11"
"hsa","ENSG00000013306",51629,"SLC25A39"
"hsa","ENSG00000013364",9961,"MVP"
"hsa","ENSG00000013374",51667,"NUB1"
"hsa","ENSG00000013375",5238,"PGM3"
"hsa","ENSG00000013392",112611,"RWDD2A"
"hsa","ENSG00000013441",1195,"CLK1"
"hsa","ENSG00000013503",55703,"POLR3B"
"hsa","ENSG00000013523",23357,"ANGEL1"
"hsa","ENSG00000013561",9604,"RNF14"
"hsa","ENSG00000013563",1774,"DNASE1L1"
"hsa","ENSG00000013573",1663,"DDX11"
"hsa","ENSG00000013583",50865,"HEBP1"
"hsa","ENSG00000013588",9052,"GPRC5A"
"hsa","ENSG00000013619",10046,"MAMLD1"
"hsa","ENSG00000013725",923,"CD6"
"hsa","ENSG00000013810",10460,"TACC3"
"hsa","ENSG00000014123",23376,"UFL1"
